espece	sous-famille	traitement	plante	Phe	Dap	Put	AcCad	NAcHSpd	Oct	MTyr	Tyr	Spd	HSpd	Dop	Spm
D	D5	S	160	346,93	1317,23	198,38	138,32	181,47	102,05	203,77	1157,8	61,98	196,01	588,63	127,95
D	D6	T	161	319,96	826,64	111,32	81,38	93,76	104,05	178,43	1122,25	65,39	306,1	614,95	93,34
D	D6	T	162	460,98	1210,29	156,5	155,5	261,77	140,19	223,84	1026,56	77,51	309,14	632	145,31
D	D6	T	163	314,12	717,54	71,26	76,65	88,61	65,01	155,86	653,85	73,65	80,1	522,96	43,46
D	D6	T	164	205,69	670,1	143,48	59,77	349,6	42,89	80,98	714,42	34,75	155,21	434,98	56,82
D	D6	S	165	248,95	1081,95	146,29	106,76	120,35	130,18	197,33	802,07	54,75	192,76	640,44	108,46
D	D6	S	166	241,89	1115,82	240,3	59,92	294,95	83,76	199,27	837,78	68,31	425,86	610,13	573,91
D	D6	S	167	378,92	1247,42	135,8	92,73	101,3	134,6	179,19	741,5	52,55	132,46	676,65	80,96
D	D6	S	168	333,84	1696,38	135,97	73,75	418,13	25,9	180,41	845,58	53,19	136,74	625,15	76,55
D	D7	T	169	618,82	1051,36	100,75	147,82	306,11	61,4	193,46	895,98	78,81	124,93	692,93	591,79
D	D7	T	170	699,06	975,93	86,55	108,36	138,47	113,49	159,05	1034,17	69,48	168,24	753,65	83,35
D	D7	T	171	542,16	1018,95	140,19	114,08	106,56	175,39	167,85	826,71	69,75	118,89	734,02	101,75
D	D7	T	172	100,21	957,5	64,67	93,69	278,53	117,72	104,22	875,45	74,47	134,99	596,66	743,1
D	D7	S	173	344,06	977,76	122,76	53,48	116,1	129,14	172,29	926,04	63,47	158,87	688,25	71,5
D	D7	S	174	318,98	913,1	79,64	63,45	80,51	108,51	104,13	934,89	69,37	87,75	573,96	1003,63
D	D7	S	175	100,21	957,5	64,67	93,69	278,53	117,72	104,22	875,45	74,47	134,99	596,66	743,1
D	D7	S	176	343,58	656,32	95,38	82,24	88,51	84,87	123,58	765,88	70,87	125,36	574,61	64,17
D	D8	T	177	365,64	845,07	60,92	153,31	122,08	1392,69	127,35	1103,89	35,6	199,33	622,48	44,08
D	D8	T	178	321,31	1147,39	135,16	109,06	126,21	141,32	1272,25	71,41	208,65	605,42	919,99	634,91
D	D8	T	179		669,22	164,11			48,91	740,66	55,71	73,61	769,96	301,4	666,46
D	D8	T	180	257,12	901,02	67,29	52,08	114,57	60,62	132,61	933,59	48,3	111,91	628,56	1203,27
D	D8	S	181	507,87	1039,13	157,28	139,72	428,23	66,44	932,78	56,4	215,45	742	152,09	448,75
D	D8	S	182	408,32	1152,18	115,94	96,33	94,68	77,6	847,64	48,13	155,71	772,64	127,46	527,92
D	D8	S	183	392,15	1202,73	166,91	93,92	218,03	53,59	141,6	922,04	41,82	193,93	641,45	88,49
D	D8	S	184	536,85	855,83	108,29	81,93	95,4	68,26	119,53	808,28	53,2	113,04	703,4	80,33
